MGI_ID,MGI_Symbol
MGI:88548,Csnk2b
MGI:88549,Csrp1
MGI:88554,Ctla2a
MGI:88555,Ctla2b
MGI:88557,Pcyt1a
MGI:88558,Ctrl
MGI:88559,Ctrb1
MGI:88561,Ctsb
MGI:88562,Ctsd
MGI:88563,Ctsg
MGI:88564,Ctsl
MGI:88566,Ctxn1
MGI:88568,Cux1
MGI:88574,Cybb
MGI:88578,Cycs
MGI:88579,Cyct
MGI:88582,Cyp11a1
MGI:88583,Cyp11b1
MGI:88584,Cyp11b2
MGI:88586,Cyp17a1
MGI:88587,Cyp19a1
MGI:88588,Cyp1a1
MGI:88589,Cyp1a2
MGI:88590,Cyp1b1
MGI:88591,Cyp21a1
MGI:88593,Cyp24a1
MGI:88594,Cyp27a1
MGI:88596,Cyp2a4
MGI:88597,Cyp2a5
MGI:88598,Cyp2b10
MGI:88599,Cyp2b13
MGI:88600,Cyp2b9
MGI:88602,Cyp2d10
MGI:88603,Cyp2d11
MGI:88604,Cyp2d12
MGI:88606,Cyp2d9
MGI:88607,Cyp2e1
MGI:88608,Cyp2f2
MGI:88609,Cyp3a11
MGI:88610,Cyp3a13
MGI:88611,Cyp4a10
MGI:88612,Cyp4a12a
MGI:88930,Reep3
MGI:88931,Apon
MGI:90168,Dcaf11
MGI:90169,Dhrs4
MGI:90673,D17H6S53E
MGI:90676,Lsm2
MGI:91842,D1Pas1
MGI:91860,Dcaf8
MGI:92356,Csde1
MGI:92638,Serp1
MGI:93830,Adipor2
MGI:93882,Lrrc32
MGI:94203,Nudt19
MGI:94852,Oaf
MGI:94859,Dao
MGI:94862,Slc6a3
MGI:94864,Dbh
MGI:94865,Dbi
MGI:94866,Dbp
MGI:94867,Dbx1
MGI:94869,Dcc
MGI:94871,Eci1
MGI:94872,Dcn
MGI:94873,Pcbd1
MGI:94876,Ddc
MGI:94881,Defa29
MGI:94882,Defa2
MGI:94883,Defa3
MGI:94885,Des
MGI:94890,Dhfr
MGI:94891,Dhh
MGI:94893,Cyb5r3
MGI:94896,Dio1
MGI:94900,Dlk1
MGI:94901,Dlx1
MGI:94902,Dlx2
MGI:94903,Dlx3
MGI:94904,Dlx4
MGI:94906,Dmpk
MGI:94907,Dmwd
MGI:94909,Dmd
MGI:94910,Dmp1
MGI:94912,Dnmt1
MGI:94917,Dpep1
MGI:94919,Dpp4
MGI:94921,Dpp6
MGI:94924,Drd2
MGI:94925,Drd3
MGI:94926,Drd4
MGI:94927,Drd5
MGI:94930,Dsg1a
MGI:94941,Dvl1
MGI:95048,Slc10a3
MGI:95049,Ubl4a
MGI:95275,Ebf1
MGI:95281,Ect2
MGI:95283,Edn1
MGI:95284,Edn2
MGI:95285,Edn3
MGI:95286,Eed
MGI:95288,Eef2
MGI:95290,Egf
MGI:95291,Klk1b22
MGI:95293,Klk1b9
MGI:95294,Egfr
MGI:95295,Egr1
MGI:95296,Egr2
MGI:95298,Eif1a
MGI:95299,Eif2s1
MGI:95300,Eif2b4
MGI:95301,Eif3a
MGI:95303,Eif4a1
MGI:95304,Eif4b
MGI:95309,Eif5
MGI:95314,Cela1
MGI:95316,Cela2a
MGI:95317,Eln
MGI:95321,Emb
MGI:95387,Emx1
MGI:95388,Emx2
MGI:95389,En1
MGI:95390,En2
MGI:95392,Eng
MGI:95393,Eno1
MGI:95394,Eno2
MGI:95395,Eno3
MGI:95401,Epb41
MGI:95402,Epb42
MGI:95403,Stom
MGI:95407,Epo
MGI:95408,Epor
MGI:95410,Erbb2
MGI:95411,Erbb3
MGI:95412,Ercc1
MGI:95413,Ercc2
MGI:95414,Ercc3
MGI:95415,Erg
MGI:95420,Ces1c
MGI:95421,Esd
MGI:95432,Ces1e
MGI:95453,Smarcad1
MGI:95454,Etl4
MGI:95455,Ets1
MGI:95456,Ets2
MGI:95457,Mecom
MGI:95458,Evi2a
MGI:95459,Zfp521
MGI:95461,Evx1
